Date,Symbol,Name,Price,Prev Close,Change %
30/06/2026,AAPL,Apple Inc.,289.36,281.74,0.027046
30/06/2026,ABBV,AbbVie Inc.,251.64,254.31,-0.010499
30/06/2026,AMD,"Advanced Micro Devices, Inc.",580.91,539.49,0.076776
30/06/2026,AMZN,"Amazon.com, Inc.",238.34,240.14,-0.007496
30/06/2026,ANET,"Arista Networks, Inc.",169.88,164.1,0.035222
30/06/2026,ASML,ASML Holding N.V. - New York Re,1989.4399,1883.11,0.056465
30/06/2026,ASTS,"AST SpaceMobile, Inc.",88.86,86.77,0.024087
30/06/2026,BABA,Alibaba Group Holding Limited,95.98,95.51,0.004921
30/06/2026,BRK.B,Berkshire Hathaway Inc. New,500.39,496.0,0.008851
30/06/2026,BRLT,"Brilliant Earth Group, Inc.",1.13,1.11,0.018018
30/06/2026,CCJ,Cameco Corporation,101.86,103.47,-0.01556
30/06/2026,ENS,EnerSys,233.82,224.13,0.043234
30/06/2026,GOOGL,Alphabet Inc.,357.37,353.65,0.010519
30/06/2026,INTC,Intel Corporation,139.63,131.72,0.060052
30/06/2026,IONQ,"IonQ, Inc.",53.26,53.88,-0.011507
30/06/2026,KO,Coca-Cola Company (The),81.27,82.65,-0.016697
30/06/2026,MELI,"MercadoLibre, Inc.",1697.39,1683.13,0.008472
30/06/2026,META,"Meta Platforms, Inc.",563.29,562.6,0.001226
30/06/2026,MRVL,"Marvell Technology, Inc.",297.89,277.75,0.072511
30/06/2026,MSFT,Microsoft Corporation,373.02,368.57,0.012074
30/06/2026,NBIS,Nebius Group N.V.,276.17,261.15,0.057515
30/06/2026,NVDA,NVIDIA Corporation,200.09,194.97,0.02626
30/06/2026,O,Realty Income Corporation,61.96,62.769,-0.012889
30/06/2026,OKLO,Oklo Inc.,52.33,52.76,-0.00815
30/06/2026,PEP,"Pepsico, Inc.",135.4,138.68,-0.023652
30/06/2026,PLTR,Palantir Technologies Inc.,116.67,115.7,0.008384
30/06/2026,QBTS,D-Wave Quantum Inc.,23.99,23.83,0.006714
30/06/2026,RGTI,"Rigetti Computing, Inc.",19.32,19.44,-0.006173
30/06/2026,SMR,NuScale Power Corporation,10.03,10.26,-0.022417
30/06/2026,SOFI,"SoFi Technologies, Inc.",17.93,18.19,-0.014294
30/06/2026,TSLA,"Tesla, Inc.",420.6,411.84,0.02127
30/06/2026,TSM,Taiwan Semiconductor Manufactur,477.57,455.1,0.049374
30/06/2026,UEC,Uranium Energy Corp.,10.66,10.83,-0.015697
30/06/2026,UNH,UnitedHealth Group Incorporated,415.63,419.82,-0.00998
30/06/2026,V,Visa Inc.,343.09,341.65,0.004215
01/07/2026,AAPL,Apple Inc.,294.38,289.36,0.017349
01/07/2026,ABBV,AbbVie Inc.,251.06,251.64,-0.002305
01/07/2026,AMD,"Advanced Micro Devices, Inc.",540.88,580.91,-0.068909
01/07/2026,AMZN,"Amazon.com, Inc.",241.7,238.34,0.014098
01/07/2026,ANET,"Arista Networks, Inc.",166.62,169.88,-0.01919
01/07/2026,ASML,ASML Holding N.V. - New York Re,1843.04,1989.4399,-0.073589
01/07/2026,ASTS,"AST SpaceMobile, Inc.",86.1,88.86,-0.03106
01/07/2026,BABA,Alibaba Group Holding Limited,97.99,95.98,0.020942
01/07/2026,BRK.B,Berkshire Hathaway Inc. New,499.74,500.39,-0.001299
01/07/2026,BRLT,"Brilliant Earth Group, Inc.",1.14,1.13,0.00885
